iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"60","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","46","219",,,,"0","0","0","0"
"61","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","44","219",,,,"0","0","0","0"
"62","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","47","219",,,,"0","0","0","0"
"63","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","50","219",,,,"0","0","0","0"
"64","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","50","219",,,,"0","0","0","0"
"65","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","49","219",,,,"0","0","0","0"
"66","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","49","219",,,,"0","0","0","0"
"67","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","48","219",,,,"0","0","0","0"
"68","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","47","219",,,,"0","0","0","0"
"69","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","48","219",,,,"0","0","0","0"
"70","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","50","219",,,,"0","0","0","0"
"71","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","49","219",,,,"0","0","0","0"
"72","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","51","219",,,,"0","0","0","0"
"73","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","48","219",,,,"0","0","0","0"
"74","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","57","219",,,,"0","0","0","0"
"75","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","45","219",,,,"0","0","0","0"
"76","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","43","219",,,,"0","0","0","0"
"77","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","47","219",,,,"0","0","0","0"
"78","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","46","219",,,,"0","0","0","0"
"79","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","46","219",,,,"0","0","0","0"
"80","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","51","219",,,,"0","0","0","0"
